Statute Name,Violation Date,latitude,longitude,counts
HOV LANE VIOLATION CAMERA VIOLATION,2021/12/27,47.57141,-122.347968,64
HOV LANE VIOLATION CAMERA VIOLATION,2021/12/27,47.571422,-122.34976,85
HOV LANE VIOLATION CAMERA VIOLATION,2021/12/28,47.57141,-122.347968,72
HOV LANE VIOLATION CAMERA VIOLATION,2021/12/28,47.571422,-122.34976,77
HOV LANE VIOLATION CAMERA VIOLATION,2021/12/29,47.57141,-122.347968,82
HOV LANE VIOLATION CAMERA VIOLATION,2021/12/29,47.571422,-122.34976,91
HOV LANE VIOLATION CAMERA VIOLATION,2021/12/3,47.57141,-122.347968,156
HOV LANE VIOLATION CAMERA VIOLATION,2021/12/3,47.571422,-122.34976,176
HOV LANE VIOLATION CAMERA VIOLATION,2021/12/30,47.57141,-122.347968,86
HOV LANE VIOLATION CAMERA VIOLATION,2021/12/30,47.571422,-122.34976,113
HOV LANE VIOLATION CAMERA VIOLATION,2021/12/31,47.57141,-122.347968,103
HOV LANE VIOLATION CAMERA VIOLATION,2021/12/31,47.571422,-122.34976,109
HOV LANE VIOLATION CAMERA VIOLATION,2021/12/4,47.57141,-122.347968,131
HOV LANE VIOLATION CAMERA VIOLATION,2021/12/4,47.571422,-122.34976,128
HOV LANE VIOLATION CAMERA VIOLATION,2021/12/5,47.57141,-122.347968,153
HOV LANE VIOLATION CAMERA VIOLATION,2021/12/5,47.571422,-122.34976,148
HOV LANE VIOLATION CAMERA VIOLATION,2021/12/6,47.57141,-122.347968,124
HOV LANE VIOLATION CAMERA VIOLATION,2021/12/6,47.571422,-122.34976,141
HOV LANE VIOLATION CAMERA VIOLATION,2021/12/7,47.57141,-122.347968,150
HOV LANE VIOLATION CAMERA VIOLATION,2021/12/7,47.571422,-122.34976,164
HOV LANE VIOLATION CAMERA VIOLATION,2021/12/8,47.57141,-122.347968,183
HOV LANE VIOLATION CAMERA VIOLATION,2021/12/8,47.571422,-122.34976,159
HOV LANE VIOLATION CAMERA VIOLATION,2021/12/9,47.57141,-122.347968,167
HOV LANE VIOLATION CAMERA VIOLATION,2021/12/9,47.571422,-122.34976,197
HOV LANE VIOLATION CAMERA VIOLATION,2021/2/1,47.57141,-122.347968,287
HOV LANE VIOLATION CAMERA VIOLATION,2021/2/1,47.571422,-122.34976,250
HOV LANE VIOLATION CAMERA VIOLATION,2021/2/10,47.57141,-122.347968,189
HOV LANE VIOLATION CAMERA VIOLATION,2021/2/10,47.571422,-122.34976,178
HOV LANE VIOLATION CAMERA VIOLATION,2021/2/11,47.57141,-122.347968,171
HOV LANE VIOLATION CAMERA VIOLATION,2021/2/11,47.571422,-122.34976,156
HOV LANE VIOLATION CAMERA VIOLATION,2021/2/12,47.57141,-122.347968,206
HOV LANE VIOLATION CAMERA VIOLATION,2021/2/12,47.571422,-122.34976,155
HOV LANE VIOLATION CAMERA VIOLATION,2021/2/13,47.57141,-122.347968,49
HOV LANE VIOLATION CAMERA VIOLATION,2021/2/13,47.571422,-122.34976,51
HOV LANE VIOLATION CAMERA VIOLATION,2021/2/14,47.57141,-122.347968,84
HOV LANE VIOLATION CAMERA VIOLATION,2021/2/14,47.571422,-122.34976,85
HOV LANE VIOLATION CAMERA VIOLATION,2021/2/15,47.57141,-122.347968,108
HOV LANE VIOLATION CAMERA VIOLATION,2021/2/15,47.571422,-122.34976,95
HOV LANE VIOLATION CAMERA VIOLATION,2021/2/16,47.57141,-122.347968,64
HOV LANE VIOLATION CAMERA VIOLATION,2021/2/16,47.571422,-122.34976,132
HOV LANE VIOLATION CAMERA VIOLATION,2021/2/17,47.57141,-122.347968,155
HOV LANE VIOLATION CAMERA VIOLATION,2021/2/17,47.571422,-122.34976,8
HOV LANE VIOLATION CAMERA VIOLATION,2021/2/18,47.57141,-122.347968,101
HOV LANE VIOLATION CAMERA VIOLATION,2021/2/19,47.57141,-122.347968,114
HOV LANE VIOLATION CAMERA VIOLATION,2021/2/2,47.57141,-122.347968,263
HOV LANE VIOLATION CAMERA VIOLATION,2021/2/2,47.571422,-122.34976,279
HOV LANE VIOLATION CAMERA VIOLATION,2021/2/20,47.57141,-122.347968,156
HOV LANE VIOLATION CAMERA VIOLATION,2021/2/21,47.57141,-122.347968,154
HOV LANE VIOLATION CAMERA VIOLATION,2021/2/22,47.57141,-122.347968,38
HOV LANE VIOLATION CAMERA VIOLATION,2021/2/24,47.571422,-122.34976,37
HOV LANE VIOLATION CAMERA VIOLATION,2021/2/25,47.57141,-122.347968,101
HOV LANE VIOLATION CAMERA VIOLATION,2021/2/25,47.571422,-122.34976,89
HOV LANE VIOLATION CAMERA VIOLATION,2021/2/26,47.57141,-122.347968,113
HOV LANE VIOLATION CAMERA VIOLATION,2021/2/26,47.571422,-122.34976,125
HOV LANE VIOLATION CAMERA VIOLATION,2021/2/27,47.57141,-122.347968,160
HOV LANE VIOLATION CAMERA VIOLATION,2021/2/27,47.571422,-122.34976,170
HOV LANE VIOLATION CAMERA VIOLATION,2021/2/28,47.57141,-122.347968,179
HOV LANE VIOLATION CAMERA VIOLATION,2021/2/28,47.571422,-122.34976,168
HOV LANE VIOLATION CAMERA VIOLATION,2021/2/3,47.57141,-122.347968,274
HOV LANE VIOLATION CAMERA VIOLATION,2021/2/3,47.571422,-122.34976,204
HOV LANE VIOLATION CAMERA VIOLATION,2021/2/4,47.57141,-122.347968,266
HOV LANE VIOLATION CAMERA VIOLATION,2021/2/4,47.571422,-122.34976,267
HOV LANE VIOLATION CAMERA VIOLATION,2021/2/5,47.57141,-122.347968,279
HOV LANE VIOLATION CAMERA VIOLATION,2021/2/5,47.571422,-122.34976,249
HOV LANE VIOLATION CAMERA VIOLATION,2021/2/6,47.57141,-122.347968,332
HOV LANE VIOLATION CAMERA VIOLATION,2021/2/6,47.571422,-122.34976,306
